source_type,file,endpoint
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/blood-bank/transfusion
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/e-prescription
wrapper,client/shared/src/api/endpoints.ts,/api/appointments
wrapper,client/shared/src/api/endpoints.ts,/api/appointments/patient/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/wearables/devices
wrapper,client/shared/src/api/endpoints.ts,/api/wearables/readings
wrapper,client/shared/src/api/endpoints.ts,/api/wearables/alerts
wrapper,client/shared/src/api/endpoints.ts,/api/symptoms
wrapper,client/shared/src/api/endpoints.ts,/api/telehealth/sessions
wrapper,client/shared/src/api/endpoints.ts,/api/cds/alerts
wrapper,client/shared/src/api/endpoints.ts,/api/lab-trends/patient/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/insurance/verify
wrapper,client/shared/src/api/endpoints.ts,/api/reminders/medication
wrapper,client/shared/src/api/endpoints.ts,/api/drugs
wrapper,client/shared/src/api/endpoints.ts,/api/interactions
wrapper,client/shared/src/api/endpoints.ts,/api/interactions/check
wrapper,client/shared/src/api/endpoints.ts,/api/family/groups
wrapper,client/shared/src/api/endpoints.ts,/api/family/groups/{groupId}/members
wrapper,client/shared/src/api/endpoints.ts,/api/family/my-groups
wrapper,client/shared/src/api/endpoints.ts,/api/family/groups/{groupId}/members/{patientId}

callsite,client/doctor-portal/src/pages/AccessLogsPage.tsx,/api/access/logs
callsite,client/doctor-portal/src/pages/DashboardPage.tsx,/api/dashboard/doctor
callsite,client/doctor-portal/src/pages/TriagePage.tsx,/api/clinical/triage
callsite,client/doctor-portal/src/pages/TriagePage.tsx,/api/clinical/triage/queue
callsite,client/doctor-portal/src/pages/SOAPNotePage.tsx,/api/clinical/soap
callsite,client/doctor-portal/src/pages/PatientSearchPage.tsx,/api/patients
callsite,client/doctor-portal/src/pages/LabResultsPage.tsx,/api/lab/submissions
callsite,client/doctor-portal/src/pages/LabResultsPage.tsx,/api/lab/submissions/{submissionId}/review
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/mar
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/intake-output
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/care-plans
callsite,client/doctor-portal/src/pages/OrdersPage.tsx,/api/clinical/orders
callsite,client/doctor-portal/src/pages/RegisterPatientPage.tsx,/api/register
callsite,client/doctor-portal/src/store/authStore.ts,/api/auth/demo-login
callsite,client/doctor-portal/src/components/NFCTapSimulator.tsx,/api/emergency-access
callsite,client/patient-app/src/pages/DashboardPage.tsx,/api/patients/{patientId}
callsite,client/patient-app/src/pages/DashboardPage.tsx,/api/access-logs/{patientId}
callsite,client/patient-app/src/pages/MyRecordsPage.tsx,/api/records/{userId}
callsite,client/patient-app/src/pages/MyRecordsPage.tsx,/api/records/{recordId}/download
callsite,client/patient-app/src/pages/ConsentManagementPage.tsx,/api/access/patient/{patientId}/grants
callsite,client/patient-app/src/pages/ConsentManagementPage.tsx,/api/access/patient/{patientId}/requests
callsite,client/patient-app/src/pages/ConsentManagementPage.tsx,/api/access/grants/{grantId}/revoke
callsite,client/patient-app/src/pages/ConsentManagementPage.tsx,/api/access/requests/{requestId}/approve
callsite,client/patient-app/src/pages/ConsentManagementPage.tsx,/api/access/requests/{requestId}/deny
callsite,client/patient-app/src/pages/MedicalIdPage.tsx,/api/medical-id/{userId}
callsite,client/patient-app/src/pages/MedicationsPage.tsx,/api/patients/{patientId}/medications
callsite,client/patient-app/src/pages/SettingsPage.tsx,/api/settings
callsite,client/patient-app/src/pages/SymptomTrackerPage.tsx,/api/symptoms/{patientId}
callsite,client/patient-app/src/store/authStore.ts,/api/auth/wallet/{walletAddress}
callsite,client/doctor-portal/src/components/StaffSelect.tsx,/api/providers
callsite,client/doctor-portal/src/components/PatientSelect.tsx,/api/patients
callsite,client/doctor-portal/src/pages/AppointmentSchedulerPage.tsx,/api/appointments
callsite,client/doctor-portal/src/pages/AMAPage.tsx,/api/clinical/ama-discharges
callsite,client/patient-app/public/sw.js,/api/medical-id/
callsite,client/patient-app/public/sw.js,/api/my-records
callsite,client/patient-app/src/pages/AppointmentsPage.tsx,/api/appointments/patient/{patientId}
callsite,client/doctor-portal/src/pages/BarcodePage.tsx,/api/barcode/scan-history
callsite,client/doctor-portal/src/pages/BarcodePage.tsx,/api/barcode/scan
callsite,client/shared/src/hooks/useSidebarData.ts,/api/dashboard/doctor
callsite,client/shared/src/hooks/useSidebarData.ts,/api/dashboard/nurse
callsite,client/shared/src/hooks/useSidebarData.ts,/api/dashboard/lab
callsite,client/shared/src/hooks/useSidebarData.ts,/api/dashboard/admin
callsite,client/shared/src/hooks/useSidebarData.ts,/api/dashboard/pharmacist
callsite,client/doctor-portal/src/pages/DrugInteractionsPage.tsx,/api/drugs
callsite,client/doctor-portal/src/pages/DrugInteractionsPage.tsx,/api/interactions
callsite,client/doctor-portal/src/pages/DrugInteractionsPage.tsx,/api/interactions/check
callsite,client/doctor-portal/src/pages/OrdersPage.tsx,/api/clinical/orders
callsite,client/doctor-portal/src/pages/OrdersPage.tsx,/api/clinical/order
callsite,client/doctor-portal/src/pages/OrdersPage.tsx,/api/clinical/orders/{orderId}/status
callsite,client/doctor-portal/src/pages/VitalSignsPage.tsx,/api/clinical/vitals/record
callsite,client/doctor-portal/src/pages/SpecimenPage.tsx,/api/clinical/specimens
callsite,client/doctor-portal/src/pages/RegisterPatientPage.tsx,/api/register
callsite,client/doctor-portal/src/pages/ProgressNotePage.tsx,/api/clinical/progress-notes
callsite,client/doctor-portal/src/pages/LabResultsPage.tsx,/api/lab/submissions
callsite,client/doctor-portal/src/pages/IntakeOutputPage.tsx,/api/clinical/intake-output
callsite,client/doctor-portal/src/pages/IncidentReportPage.tsx,/api/clinical/incident-reports
callsite,client/doctor-portal/src/pages/AnalyticsPage.tsx,/api/analytics/dashboard
callsite,client/doctor-portal/src/pages/HistoryAndPhysicalPage.tsx,/api/clinical/history-physical
callsite,client/doctor-portal/src/pages/LacerationRepairPage.tsx,/api/clinical/laceration-repairs
callsite,client/doctor-portal/src/pages/NursingCarePlanPage.tsx,/api/clinical/nursing-care-plans
callsite,client/doctor-portal/src/pages/PatientDetailPage.tsx,/api/patients/{patientId}
callsite,client/doctor-portal/src/pages/WoundCarePage.tsx,/api/clinical/wound-assessments
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/mar
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/intake-output
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/care-plans
callsite,client/doctor-portal/src/pages/TriagePage.tsx,/api/clinical/triage
callsite,client/doctor-portal/src/pages/TriagePage.tsx,/api/clinical/triage/queue
callsite,client/doctor-portal/src/pages/SOAPNotePage.tsx,/api/clinical/soap
callsite,client/patient-app/src/pages/MessagesPage.tsx,/api/messages
callsite,client/patient-app/src/pages/MyProfilePage.tsx,/api/patients/{patientId}
callsite,client/patient-app/src/pages/EmergencyCardPage.tsx,/api/patients/{patientId}
callsite,client/patient-app/src/pages/MedicalIdPage.tsx,/api/medical-id/{userId}
callsite,client/patient-app/src/pages/SymptomTrackerPage.tsx,/api/symptoms/{patientId}
callsite,client/patient-app/src/pages/SettingsPage.tsx,/api/settings
callsite,client/patient-app/src/pages/MyRecordsPage.tsx,/api/records/{recordId}/download
callsite,client/patient-app/src/pages/AppointmentsPage.tsx,/api/appointments/patient/{patientId}
